Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Bengali
GAME_NAME,Zombie War,殭屍大戰,สงครามซอมบี้,Cuộc chiến zombie,Perang Zombie,Guerra dos zumbis,Guerra de zombis,Зомби война,Guerre zombie,Zombiekrieg,Zombi savaşı,ज़ोंबी युद्ध,Război zombie,حرب الزومبي,জম্বি যুদ্ধ
GAME_DESCRIPTION,"Get powerful effect and eliminate the final Boss!
Be the No.1 on the leaderboard!","獲取强力增幅並擊殺最終Boss！
成爲排行榜上的第一名！","รับเอฟเฟกต์ที่ทรงพลังและกำจัดเจ้านายคนสุดท้าย!
เป็นอันดับ 1 บนกระดานลำพัง!","Nhận hiệu ứng mạnh mẽ và loại bỏ ông chủ cuối cùng!
Hãy là số 1 trên Theleaderboard!","Dapatkan efek yang kuat dan hilangkan bos terakhir!
Jadilah No.1 di papan ini!","Obtenha efeito poderoso e elimine o chefe final!
Seja o número 1 no TheLeaderboard!","¡Obtenga un efecto poderoso y elimine al jefe final!
¡Sea el número 1 en la tabla de leader!","Получите мощный эффект и устраните финального босса!
Будьте №1 на TheLeaderboard!","Obtenez un effet puissant et éliminez le boss final!
Soyez le n ° 1 sur TheLeaderboard!","Holen Sie sich kraftvolle Wirkung und beseitigen Sie den endgültigen Chef!
Sei die Nr. 1 auf Theleaderboard!","Güçlü bir etki elde edin ve son patronu ortadan kaldırın!
Theleaderboard'da No.1 olun!","शक्तिशाली प्रभाव प्राप्त करें और अंतिम बॉस को खत्म करें!
Theleaderboard पर No.1 हो!","Obțineți un efect puternic și eliminați șeful final!
Fii nr.1 pe TheLeaderboard!","الحصول على تأثير قوي والقضاء على الرئيس النهائي!
كن رقم 1 على Theleaderboard!","শক্তিশালী প্রভাব পান এবং চূড়ান্ত বসকে নির্মূল করুন!
থেলিডারবোর্ডে নং 1 হন!"
Tips_Waiting,Waiting,等待中,ซึ่งรอคอย,Chờ,Menunggu,Esperando,Espera,Ожидающий,En attendant,Warten,Beklemek,इंतज़ार में,Aşteptare,منتظر,অপেক্ষা করছি
Tips_BuyDefalutWeapon,Click on the store button to purchase a weapon!,點擊商店按鈕選購一把武器！,คลิกที่ปุ่มร้านค้าเพื่อซื้ออาวุธ!,Nhấp vào nút Cửa hàng để mua vũ khí!,Klik tombol Store untuk membeli senjata!,Clique no botão da loja para comprar uma arma!,¡Haga clic en el botón de la tienda para comprar un arma!,"Нажмите кнопку «Магазин», чтобы купить оружие!",Cliquez sur le bouton Store pour acheter une arme!,"Klicken Sie auf die Schaltfläche Store, um eine Waffe zu kaufen!",Bir silah satın almak için mağaza düğmesine tıklayın!,हथियार खरीदने के लिए स्टोर बटन पर क्लिक करें!,Faceți clic pe butonul Store pentru a cumpăra o armă!,انقر على زر المتجر لشراء سلاح!,একটি অস্ত্র কিনতে স্টোর বোতামে ক্লিক করুন!
Shop_ShopName,Shop,商店,ร้านค้า,Cửa hàng,Toko,Comprar,Comercio,Магазин,Boutique,Geschäft,Mağaza,दुकान,Magazin,محل,দোকান
Shop_item1,Grade 2 bulletproof coat,2級防彈衣,เสื้อกันกระสุนเกรด 2,Lớp phủ đạn 2,Mantel Bulletproof Grade 2,Casaco à prova de balas de grau 2,Abrigo a prueba de balas de grado 2,Блинлетопробиваемое покрытие 2 класса,Mateau de balle de grade 2,Grade 2 Bullet Proof Mantel,Sınıf 2 kurşun geçirmez ceket,ग्रेड 2 बुलेटप्रूफ कोट,Haină de grad 2,معطف مقاوم للرصاص من الدرجة الثانية,গ্রেড 2 বুলেটপ্রুফ কোট
Shop_item2,Level 3 bulletproof coat,3級防彈衣,เสื้อกันกระสุนระดับ 3,Lớp phủ đạn 3,Level 3 Bulletproof Coat,Casaco à prova de balas de nível 3,Abrigo a prueba de balas de nivel 3,Пуленепробиваемое покрытие 3 -го уровня,Mateau de balle de niveau 3,Stufe 3 kugelsicherer Mantel,Seviye 3 Kurşun geçirmez ceket,स्तर 3 बुलेटप्रूफ कोट,Nivel 3 strat de glonț,مستوى 3 معطف مضاد للرصاص,স্তর 3 বুলেটপ্রুফ কোট
Shop_item3,Firearm,槍械陞級器,อาวุธปืน,Súng,Senjata api,Arma de fogo,Arma de fuego,Огнестрельное оружие,Arme à feu,Feuerwaffe,Ateşli silah,बन्दूक,Armă de foc,سلاح ناري,আগ্নেয়াস্ত্র
Shop_item4,First -aid,急救包,ปฐมพยาบาล,Sơ cứu,Pertolongan pertama,Primeiro socorro,Primeros auxilios,Первая помощь,PREMIERS SECOURS,Erste Hilfe,İlk yardım,प्राथमिक चिकित्सा,Prim ajutor,إسعافات أولية,প্রাথমিক চিকিৎসা
Shop_item5,Grenade,手雷,ระเบิดมือ,Lựu đạn,Granat,Granada,Granada,Граната,Grenade,Granate,El bombası,ग्रेनेड,Grenadă,قنبلة يدوية,গ্রেনেড
