Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME-NAME,Sniper,,ซุ่มยิง,Kẻ bắn tỉa,Penembak jitu,Atirador de elite,Francotirador,Снайпер,Tireur d'élite,Scharfschütze,Keskin nisanci,निशानची,Lunetist,قناص,သေနတ်လက်တဲ့သမား,سنائپر,স্নিপার
GAME-DESCRIPTION,Get out alive from here and become the best sniper!,成為最好的狙擊手!,มีชีวิตอยู่จากที่นี่และกลายเป็นมือปืนที่ดีที่สุด!,Hãy sống từ đây và trở thành tay bắn tỉa tốt nhất!,Keluar dari sini dan jadilah penembak jitu terbaik!,Saia vivo daqui e torne -se o melhor atirador!,¡Salga con vida desde aquí y conviértete en el mejor francotirador!,Убирайся в живых отсюда и станьте лучшим снайпером!,,,,,,,,,
GAME-KILL,HP settings,HP設置,การตั้งค่า HP,Cài đặt Máu,Pengaturan HP,Configurações HP,Ajustes de PV,Настройки HP,Paramètres HP,HP -Einstellungen,CP Ayarları,एचपी सेटिंग्स,Setări HP,إعدادات HP,HP ချိန်ညှိချက်များ,HP کی ترتیبات,এইচপি সেটিংস
GAME-KILL-ONE,One hit kills,一擊必殺,1 นัดจอด,1 phát chết,One hit kill,Um golpe morta,Elimina de un golpe,Один удар убивает,Un coup tue,Ein Schlag tötet,Tek vuruşta haklamalar,एक वार घातक है,Un hit ucide,قتلات بضربة واحدة,တ ဦး တည်း hit သတ်ဖြတ်မှု,ایک ہٹ مارا,এক ঢিলেই পাখি মারা
GAME-KILL-TWO,Two shots are needed,需要兩槍,ต้องยิง 2 ครั้ง,Cần 2 phát,Dua tembakan dibutuhkan,Duas fotos são necessárias,Se necesitan dos disparos,Требуются два снимка,Deux coups sont nécessaires,Es werden zwei Schüsse benötigt,İki atış gerekiyor,दो शॉट की जरूरत है,Sunt necesare două fotografii,هناك حاجة إلى طلقتين,နှစ်ခုရိုက်ချက်များလိုအပ်ပါသည်,دو شاٹس کی ضرورت ہے,দুটি শট প্রয়োজন
GAME-kill20,20 people,20人,20 คน,20 người,20 orang,20 pessoas,20 personas,20 человек,20 personnes,20 Leute,20 kişi,20 लोग,20 de persoane,20 شخصًا,လူ 20,20 افراد,20 জন
GAME-kill40,40 people,40人,40 คน,40 người,40 orang,40 pessoas,40 personas,40 человек,40 personnes,40 Personen,40 kişi,40 लोग,40 de persoane,40 شخصًا,လူ 40,40 افراد,40 জন
GAME-Victory conditions,Victory conditions,勝利條件,เงื่อนไขการชนะ,Điều kiện thắng,Kondisi kemenangan,Condições de vitória,Condiciones de victoria,Условия победы,Conditions de victoire,Siegbedingungen,Zafer Koşulları,विजय की स्थिति,Condiții de victorie,شروط النصر,အောင်ပွဲအခြေအနေများ,فتح کے حالات,বিজয় শর্ত
UI-fiream,Choose a fiream,選擇火力,เลือกปืน,Chọn một Fiream,Pilih senjata,Escolha um fogo,Elige un arma,Выберите FIREAM,Choisissez un fiream,Wählen Sie einen Fiream,Bir Silah Seçin,एक फायरम चुनें,Alegeți un Fiream,اختر سلاحًا ناريًا,တစ် ဦး fiream ကိုရွေးချယ်ပါ,فائریم کا انتخاب کریں,একটি ফায়ারাম চয়ন করুন
UI-ranking,Rankings,排名,อันดับ,Hạng,Ranking,rankings,Ranking,рейтинги,classements,Ranglisten,dereceler,रैंकिंग,clasamente,تصنيفات,အဆင့်သတ်မှတ်ချက်,درجہ بندی,র‌্যাঙ্কিং
