Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,Blade Ball,Blade Ball,,Blade ball,,,,,,,,,,,,,
GAME_DESCRIPTION,Unlock abilities - get Blade ball victory,解鎖技能 - 獲得 Blade ball 勝利,ปลดล็อกความสามารถ - รับชัยชนะของ Blade Ball,Mở khóa kỹ năng chiến thắng trò chơi đánh bóng đỉnh cao,Buka Kunci Kunci - Dapatkan Kemenangan Bola Blade,Habilidades de desbloqueio - Obtenha a vitória da bola de lâmina,Desbloqueo de habilidades - Obtener victoria de Blade Ball,Разблокируйте способности - получить победу в Blade Ball,Déverrouiller les capacités - Obtenez la victoire de la balle de lame,Fähigkeiten freischalten - Klingenball Sieg erringen,Yeteneklerin kilidini açın - Blade Ball Zaferi Alın,अनलॉक क्षमता - ब्लेड बॉल जीत प्राप्त करें,Abilități de deblocare - obținerea victoriei Blade Ball,فتح القدرات - احصل على فوز كرة الشفرة,စွမ်းရည်ကိုသော့ဖွင့်ခြင်း - Blade ဘောလုံးကိုအောင်ပွဲခံပါ,انلاک صلاحیتوں - بلیڈ بال کی فتح حاصل کریں,আনলক ক্ষমতা - ব্লেড বল বিজয় পান
ABILITY_STRONG_HIT_NAME,SUPER SMASH,超級粉碎,Super Smash,ĐÁNH SIÊU NHANH,Super Smash,Super Smash,Súper smash,Супер Smash,Super smash,Super Smash,Süper Smash,सुपर स्मैश,Super Smash,سوبر سحق,စူပါ smash,سپر توڑ,সুপার স্ম্যাশ
ABILITY_STRONG_HIT_DES,After using ability can smash a strong hit,使用技能後可以進行強力一擊,หลังจากใช้ความสามารถสามารถทุบการโจมตีที่แข็งแกร่ง,Sau khi sử dụng kỹ năng có thể đánh một cú cực mạnh,Setelah menggunakan kemampuan dapat menghancurkan pukulan yang kuat,"Depois de usar a habilidade, pode esmagar um forte sucesso",Después de usar la habilidad puede aplastar un fuerte éxito,После использования способности может поразить сильный удар,"Après avoir utilisé la capacité, peut casser un coup fort",Nach dem Einsatz von Fähigkeiten kann ein starker Treffer zerschlagen,Yetenek kullandıktan sonra güçlü bir vuruş yapabilir,क्षमता का उपयोग करने के बाद एक मजबूत हिट को तोड़ सकता है,"După ce a folosit abilitate, poate zdrobi o lovitură puternică",بعد استخدام القدرة يمكن أن تحطم ضربة قوية,နိုင်စွမ်းကိုအသုံးပြုပြီးနောက်တစ် ဦး ခိုင်မာတဲ့ hit ကို smash နိုင်ပါတယ်ပြီးနောက်,قابلیت کو استعمال کرنے کے بعد ایک مضبوط ہٹ کو توڑ سکتا ہے,ক্ষমতা ব্যবহার করার পরে একটি শক্তিশালী হিট ধ্বংস করতে পারে
ABILITY_SLOW_DOWN_NAME,SLOW DOWN,減速,ช้าลงหน่อย,CHẬM LẠI,PELAN - PELAN,DESACELERAR,DESACELERAR,ЗАМЕДЛЯТЬ,RALENTIR,VERLANGSAMEN,YAVAŞLA,गति कम करो,ÎNCETINI,ابطئ,အရှိန်လျော့သည်,سست ہوجائیں,আস্তে আস্তে
ABILITY_SLOW_DOWN_DES,"After using ability, the ball will move slowly when target you",使用技能後，球在追踪你時會移動緩慢,หลังจากใช้ความสามารถลูกบอลจะเคลื่อนที่ช้าเมื่อกำหนดเป้าหมายคุณ,"Sau khi sử dụng kỹ năng, quả bóng sẽ di chuyển thật chậm khi hướng về bạn","Setelah menggunakan kemampuan, bola akan bergerak perlahan saat menargetkan Anda","Depois de usar a habilidade, a bola se moverá lentamente quando o alvo você","Después de usar la habilidad, la pelota se moverá lentamente cuando te apunte","После использования способности мяч будет двигаться медленно, когда вы нацелитесь на вас","Après avoir utilisé la capacité, la balle se déplacera lentement lorsque vous ciblera","Nach dem Einsatz von Fähigkeiten bewegt sich der Ball langsam, wenn Sie Sie abzielen","Yeteneği kullandıktan sonra, sizi hedeflediğinde top yavaş hareket edecek","क्षमता का उपयोग करने के बाद, गेंद आपको लक्षित करने पर धीरे -धीरे आगे बढ़ेगी","După utilizarea abilității, mingea se va mișca lent atunci când vă va vizați",بعد استخدام القدرة ، ستتحرك الكرة ببطء عندما تستهدفك,စွမ်းရည်ကိုအသုံးပြုပြီးနောက်သင့်ကိုပစ်မှတ်ထားသည့်အခါဘောလုံးသည်ဖြည်းဖြည်းချင်းလှုပ်ရှားလိမ့်မည်,قابلیت کو استعمال کرنے کے بعد ، جب آپ کو نشانہ بنایا جائے تو گیند آہستہ آہستہ حرکت کرے گی,"ক্ষমতা ব্যবহার করার পরে, আপনাকে লক্ষ্য করার সময় বলটি ধীরে ধীরে সরে যাবে"
ABILITY_SHIELD_NAME,SHIELD,護盾,โล่,KHIÊN,TAMENG,ESCUDO,BLINDAJE,ЩИТ,BOUCLIER,SCHILD,Kalkan,कवच,SCUT,درع,ဒိုင်း,ڈھال,ঝাল
ABILITY_SHIELD_HIT_DES,Create a skill auto reflect the ball,創造一個技能，自動反彈球,สร้างทักษะอัตโนมัติสะท้อนลูกบอล,Tạo một chiếc khiên tự động phản lại quả bóng,Buat keterampilan otomatis mencerminkan bola,Crie uma habilidade automática refletir a bola,Crea una habilidad Auto reflejar la pelota,Создать навык автомат отразить мяч,Créer une compétence Auto reflète la balle,Erstellen Sie eine Fertigkeit automatisch reflektieren Sie den Ball,Bir Beceri Oluşturun Otomatik topu yansıtın,एक कौशल ऑटो बनाएं गेंद को प्रतिबिंबित करें,Creați o abilitate auto reflectă mingea,إنشاء Auto Auto تعكس الكرة,တစ် ဦး ကျွမ်းကျင်မှုအော်တိုဖန်တီးဘောလုံးကိုရောင်ပြန်ဟပ်,ایک مہارت بنائیں آٹو گیند کی عکاسی کریں,একটি দক্ষতা তৈরি করুন অটো বলটি প্রতিফলিত করুন
ABILITY_INVISIBLE_NAME,INVISIBLE,隱形,ล่องหน,ẨN THÂN,TAK TERLIHAT,INVISÍVEL,INVISIBLE,Невидимый,INVISIBLE,UNSICHTBAR,GÖRÜNMEZ,अदृश्य,INVIZIBIL,غير مرئى,မမြင်နိုင်သော,پوشیدہ,অদৃশ্য
ABILITY_INVISIBLE_DES,Become invisible for a while,一段時間內變得隱形,มองไม่เห็นสักพัก,Trở nên vô hình trong một khoảng thời gian,Menjadi tidak terlihat untuk sementara waktu,Torne -se invisível por um tempo,Volverse invisible por un tiempo,Какое -то время становятся невидимыми,Devenir invisible pendant un certain temps,Für eine Weile unsichtbar werden,Bir süre görünmez olmak,थोड़ी देर के लिए अदृश्य बनें,Devin invizibil pentru o vreme,تصبح غير مرئية لفترة من الوقت,ခဏမစန်တွေဖြစ်လာသည်,تھوڑی دیر کے لئے پوشیدہ ہوجائیں,কিছুক্ষণের জন্য অদৃশ্য হয়ে উঠুন
