Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,Evolution,,วิวัฒนาการ,Sự tiến hóa,Evolusi,Evolução,Evolución,Эволюция,Évolution,Evolution,Evrim,विकास,Evoluţie,تطور,,ارتقاء,বিবর্তন
GAME_DESCRIPTION,Kill the most enemies with different weapons,用不同的武器殺死大多數敵人,กำจัดศัตรูให้ได้มากที่สุดด้วยอาวุธหลากรูปแบบ,Giết nhiều nhất bằng những vũ khí khác nhau,Eliminasi musuh terbanyak dengan senjata yang berbeda,Abata mais oponentes com armas diferentes,Elimina a la mayoría de los enemigos con diferentes armas,Убейте самых врагов с различным оружием,Tuez le plus d'ennemis avec des armes différentes,Töte die meisten Feinde mit verschiedenen Waffen,Farklı silahlarla en fazla rakibi hakla,अलग -अलग हथियारों से सबसे अधिक दुश्मनों को मार डालो,Omoară cei mai mulți dușmani cu arme diferite,اقتل معظم الأعداء بأسلحة مختلفة,လူအများစုကိုအခြားလက်နက်များဖြင့်သတ်ပစ်ပါ,مختلف ہتھیاروں سے زیادہ تر دشمنوں کو مار ڈالو,বিভিন্ন অস্ত্র দিয়ে সর্বাধিক শত্রুদের হত্যা করুন
GAME_DIFFICULTY,Game difficulty,遊戲難度,ระดับความยากของเกม,Độ khó,Tingkat kesulitan,Dificuldade da partida,Dificultad del juego,Сложности игры,Difficulté de jeu,Spielschwierigkeit,Oyun Zorluğu,खेल कठिनाई,Dificultate de joc,صعوبة اللعبة,ဂိမ်းအခက်အခဲ,کھیل کی دشواری,গেমের অসুবিধা
GAME_Easy,Easy,簡單,ง่าย,Dễ,Easy,Fácil,Fácil,Легкий,Facile,Leicht,Kolay,आसान,Uşor,سهل,လွယ်ကူသော,آسان,সহজ
GAME_Medium,Medium,中等的,ปานกลาง,Trung bình,Medium,Médio,Medio,Середина,Moyen,Mittel,Orta,मध्यम,Mediu,متوسط,အလယ်အလတ်,میڈیم,মধ্যম
GAME_Hard,Hard,難的,ยาก,Khó,Hard,Difícil,Difícil,Жесткий,Difficile,Schwer,Sert,मुश्किल,Greu,صعب,ခိုင်မာသော,سخت,হার্ড
TIPS_Wating,Waiting,等待,ซึ่งรอคอย,Chờ,Menunggu,Esperando,Espera,Ожидающий,En attendant,Warten,Beklemek,इंतज़ार में,Aşteptare,منتظر,စောင့်သော,انتظار کرنا,অপেক্ষা করছি
TIPS_Kill,Kill:,擊殺：,กำจัด:,Giết:,Eliminasi:,Abate:,Eliminar:,Убийство:,Tuer:,Töten:,Haklama:,मारना:,Ucide:,قتل:,Kill:,قتل:,হত্যা:
TIPS_NextWeapon,Next,下一把武器,ถัดไป: {0},Tiếp theo: {0},Berikutnya: {0},Próximo: {0},Siguiente: {0},Далее: {0},Suivant: {0},Weiter: {0},Sonraki: {0},अगला: {0},Următorul: {0},التالي: {0},နောက်တစ်ခု - {0},اگلا: {0},পরবর্তী: {0}
TIPS_PanTipsTitle,Warning!!!,警告！！！,คำเตือน!!!,Cảnh báo!!!,Peringatan!!!,Aviso!!!,¡¡¡Advertencia!!!,Предупреждение!!!,Avertissement!!!,Warnung!!!,Uyarı!!!,चेतावनी!!!,Avertizare!!!,إنذار!!!,သတိပေး !!!,انتباہ !!!,সতর্কতা !!!
TIPS_PanTipsSub,Pan player has arrived!!!,平底鍋玩家到了！！！,ระวังคนที่ถือกระทะไว้ให้ดี !!!,Người chơi Pan đã đến !!!,Pemain pan telah tiba !!!,O jogador com a panela chegou!!!,¡¡¡El jugador con sartén ha llegado!!!,Пан игрок прибыл !!!,Pan Player est arrivé !!!,Pan Player ist angekommen !!!,Tava Oyuncusu geldi !!!,पैन प्लेयर आ गया है !!!,Pan Player a sosit !!!,وصل لاعب المقلاة!!!,Pan ကစားသမားရောက်ရှိလာခဲ့သည် !!!,پین پلیئر آگیا ہے !!!,প্যান প্লেয়ার এসে গেছে !!!
TIPS_Kill_double,Double Kill,雙殺,Double Kill,Double Kill,Double Kill,Abate duplo,Eliminación doble,Два убийства подряд,Double Kill,Doppeltötung,İkide İki,दोहरी मार,Dublu asasinat,قتل مزدوج,သတ်ပစ်,ایک تیر سے دو شکار,দ্বৈত খুন
TIPS_Kill_triple,Triple Kill,三殺,Triple Kill,Triple Kill,Triple Kill,Abate Tripla,Eliminación triple,Тройное убийство,Triple Kill,Dreifach-Tötung,Üçte Üç,तिगुनी मार,Triplă ucidere,قتل ثلاثي,သုံးဆသတ်,ٹرپل مار,তিনটি হত্যা
TIPS_Kill_quadra,Quadra Kill,四殺,Quadra Kill,Quadra Kill,Quadra Kill,Abate quádruplo,Eliminación cuádruple,Quadra Kill,Quadra Kill,Vierfach Kill,Dörtte Dört,दस सेकंड के भीतर विरोधियों के चार खिलाड़ियों को मारना,Quadra ucide,قتل رباعي,quadra kill,کواڈرا مار,চারটা কিল
TIPS_Kill_penta,Penta Kill,五殺,Penta Kill,Penta Kill,Penta Kill,Abate quintúplo,Eliminación quíntuple,Пента убийство,Quintuple Kill,Penta Kill,Beşte Beş,पेंटाकिल,Penta ucide,قتل خماسي,Penta Kill,پینٹا مار,পাঁচ খুন
TIPS_Kill_legendary,Legendary,成為傳奇了,Legendary,Huyền thoại,Legendary,Lendário,Legendario,Легендарный,Légendaire,Legendär,Efsanevi,प्रसिद्ध,Legendar,أسطوري,ဒဏ္ leg ာရီ,افسانوی,কিংবদন্তি
VOTE_VoteTitle,Vote,投票,โหวต,Bầu cử,Pilih,Vote,Votar,Голосование,Vote,Abstimmung,Oyla,वोट,Vot,تصويت,မဲပေးပဲွ,ووٹ,ভোট
VOTE_VoteQuestion,Whether MVP Icon is showed on map?,地圖上是否顯示MVP標誌？,แสดงไอคอน MVP บนแผนที่หรือไม่?,Biểu tượng MVP có được hiển thị trên bản đồ không?,Apakah ikon MVP ditampilkan di peta?,Se o ícone do MVP é mostrado no mapa?,¿Se muestra el icono MVP en el mapa?,Отображается ли значок MVP на карте?,Si l'icône MVP est montrée sur la carte?,Ob MVP -Symbol auf der Karte gezeigt wird?,MVP simgesinin haritada gösterilip gösterilmeyeceği,क्या MVP आइकन मानचित्र पर दिखाया गया है?,Dacă pictograma MVP este afișată pe hartă?,ما إذا كان قد تم عرض أيقونة MVP على الخريطة؟,MVP အိုင်ကွန်ကိုမြေပုံပေါ်တွင်ပြသပါသလား။,کیا ایم وی پی آئیکن نقشہ پر دکھایا گیا ہے؟,এমভিপি আইকন মানচিত্রে প্রদর্শিত হয় কিনা?
VOTE_VoteAnswer_yes,Yes(0),是（0）,ใช่ (0),Có(0),Ya (0),Sim (0),Sí (0),Да (0),Oui (0),Ja (0),Evet (0),हाँ (0),Da (0),نعم (0),ဟုတ်ကဲ့ (0),ہاں (0),হ্যাঁ (0)
VOTE_VoteAnswer_no,No(0),否（0）,ไม่ (0),Không(0),Tidak (0),Não (0),No (0),Нет (0),Non (0),Nein (0),Hayır (0),नहीं (0),Nu (0),لا (0),အမှတ် (0),نہیں (0),না (0)
VOTE_VoteCount_yes,Yes({0}),是（{0}）,ใช่ ({0}),Có({0}),Ya ({0}),Sim ({0}),Sí ({0}),Да ({0}),Oui ({0}),Ja ({0}),Evet ({0}),हाँ ({0}),Da ({0}),نعم ({0}),ဟုတ်ကဲ့ ({0}),ہاں ({0}),হ্যাঁ ({0})
VOTE_VoteCount_no,No({0}),否（{0}）,ไม่ ({0}),Không({0}),Tidak ({0}),Não ({0}),No ({0}),Нет ({0}),Non ({0}),Nein ({0}),Hayır ({0}),नहीं ({0}),Nu ({0}),لا ({0}),မဟုတ်ပါ ({0}),نہیں ({0}),না ({0})
TIPS_PlayerInfo_ChengHao_title,title,當前稱號,ชื่อ,tiêu đề,judul,título,título,заголовок,titre,Titel,başlık,शीर्षक,titlu,عنوان,ခေါင်းစဥ်,عنوان,শিরোনাম
TIPS_PlayerInfo_ChengHao_text_0,Novice,新秀,สามเณร,Novice,Pemula,Novato,Principiante,Новичок,Novice,Anfänger,Acemi,नौसिखिए,Novice,مبتدئ,အသက်ချမ်းသာ,نوسکھئیے,নবীন
TIPS_PlayerInfo_ChengHao_text_1,Elitist,精英,ชนชั้นสูง,Elitist,Elitis,Elitista,Elitista,Элита,Élitiste,Elitär,Seçkin,संभ्रांतवादी,Elitist,النخبوي,ul ဆရာ,اشرافیہ,অভিজাত
TIPS_PlayerInfo_ChengHao_text_2,Specialist,專家,ผู้เชี่ยวชาญ,Chuyên gia,Spesialis,Especialista,Especialista,Специалист,Spécialiste,Spezialist,Uzman,SPECIALIST,Specialist,متخصص,အထူးပညာရှင်မ,ماہر,বিশেষজ্ঞ
TIPS_PlayerInfo_ChengHao_text_3,Master,宗師,ผู้เชี่ยวชาญ,Bậc thầy,Menguasai,Mestre,Maestro,Владелец,Maître,Meister,Usta,मालिक,Maestru,يتقن,ကျွမ်းကျင်သူ,ماسٹر,মাস্টার
TIPS_PlayerInfo_ChengHao_text_4,Challenger,王者,ผู้ท้าชิง,Người thách thức,Penantang,Desafiador,Desafiador,Претендент,Challenger,Herausforderer,Meydan okuyan kimse,दावेदार,Provocator,منافس,အန်တုသူ,چیلینجر,চ্যালেঞ্জার
TIPS_PlayerInfo_ChengHao_text_5,Legend,傳説,ตำนาน,Huyền thoại,Legenda,Lenda,Leyenda,Легенда,Légende,Legende,Efsane,दंतकथा,Legendă,أسطورة,ဒဏ္ leg ရီပုံပြင်,علامات,কিংবদন্তি
TIPS_PlayerInfo_Name,NAME:,昵稱:,ชื่อ:,TÊN:,NAMA:,NOME:,NOMBRE:,ИМЯ:,NOM:,NAME:,İSİM:,नाम:,NUME:,اسم:,နာမည်,نام:,নাম:
TIPS_PlayerInfo_Win,WIN:,勝場:,ชนะ:,THẮNG:,MENANG:,GANHAR:,GANAR:,ПОБЕДИТЬ:,GAGNER:,GEWINNEN:,KAZANÇ:,जीतना:,VICTORIE:,يفوز:,ဝင်း:,جیت:,জয়:
TIPS_PlayerInfo_Kill,KILL:,擊殺：,ฆ่า:,GIẾT:,MEMBUNUH:,MATAR:,MATAR:,УБИЙСТВО:,TUER:,TÖTEN:,ÖLDÜRMEK:,मारना:,UCIDE:,قتل:,Kill:,قتل:,হত্যা:
TIPS_PlayerInfo_Damage,DAMAGE:,傷害:,ความเสียหาย:,HƯ HẠI:,KERUSAKAN:,DANO:,DAÑO:,ПОВРЕЖДАТЬ:,DOMMAGE:,SCHADEN:,ZARAR:,आघात:,DETERIORA:,ضرر:,ပျက်စီးခြင်း:,نقصان:,ক্ষতি:
TIPS_RankList,Current Rank List,本局段位榜,รายการอันดับปัจจุบัน,Danh sách xếp hạng hiện tại,Daftar peringkat saat ini,Lista de classificação atual,Lista de rango actual,Текущий список рангов,Liste de rang actuelle,Aktuelle Rangliste,Mevcut Sıralama Listesi,वर्तमान रैंक सूची,Lista curentă de rang,قائمة المرتبة الحالية,လက်ရှိရာထူးစာရင်း,موجودہ درجہ کی فہرست,বর্তমান র‌্যাঙ্ক তালিকা
TIPS_Rank,Ranking,排名,การจัดอันดับ,Xếp hạng,Peringkat,Ranking,Clasificación,Рейтинг,Classement,Rangfolge,Sıralama,श्रेणी,Clasament,تصنيف,အဆင့်သတ်မှတ်ချက်,درجہ بندی,র‌্যাঙ্কিং
TIPS_NickName,Nickname,昵稱:,ชื่อเล่น,Tên nick,Nama panggilan,Apelido,Apodo,Прозвище,Surnom,Spitzname,Takma ad,उपनाम,Poreclă,كنية,အမည်ပြောင်,عرفی نام,ডাকনাম
TIPS_Segment,Rank,段位,จัดอันดับ,Thứ hạng,Pangkat,Classificação,Rango,Классифицировать,Rang,Rang,Rütbe,पद,Rang,رتبة,အဆင့်,درجہ,র‌্যাঙ্ক
