Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,BladeBall,,,Đánh bóng,,,,,,,,,,,,,
GAME_DESCRIPTION,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
ABILITY_STRONG_HIT_NAME,SUPER SMASH,超級粉碎,Super Smash,ĐÁNH SIÊU MẠNH,Super Smash,Super Smash,Súper smash,Супер Smash,Super smash,Super Smash,Süper Smash,सुपर स्मैश,Super Smash,سوبر سحق,စူပါ smash,سپر توڑ,সুপার স্ম্যাশ
ABILITY_STRONG_HIT_DES,After using ability can smash a strong hit,使用能力後可以擊敗強烈的打擊,หลังจากใช้ความสามารถสามารถทุบการโจมตีที่แข็งแกร่ง,Sau khi sử dụng kỹ năng có thể đánh một cú cực mạnh,Setelah menggunakan kemampuan dapat menghancurkan pukulan yang kuat,"Depois de usar a habilidade, pode esmagar um forte sucesso",Después de usar la habilidad puede aplastar un fuerte éxito,После использования способности может поразить сильный удар,"Après avoir utilisé la capacité, peut casser un coup fort",Nach dem Einsatz von Fähigkeiten kann ein starker Treffer zerschlagen,Yetenek kullandıktan sonra güçlü bir vuruş yapabilir,क्षमता का उपयोग करने के बाद एक मजबूत हिट को तोड़ सकता है,"După ce a folosit abilitate, poate zdrobi o lovitură puternică",بعد استخدام القدرة يمكن أن تحطم ضربة قوية,နိုင်စွမ်းကိုအသုံးပြုပြီးနောက်တစ် ဦး ခိုင်မာတဲ့ hit ကို smash နိုင်ပါတယ်ပြီးနောက်,قابلیت کو استعمال کرنے کے بعد ایک مضبوط ہٹ کو توڑ سکتا ہے,ক্ষমতা ব্যবহার করার পরে একটি শক্তিশালী হিট ধ্বংস করতে পারে
ABILITY_SLOW_DOWN_NAME,SLOW DOWN,減速,ช้าลงหน่อย,CHẬM LẠI,PELAN - PELAN,DESACELERAR,DESACELERAR,ЗАМЕДЛЯТЬ,RALENTIR,VERLANGSAMEN,YAVAŞLA,गति कम करो,ÎNCETINI,ابطئ,အရှိန်လျော့သည်,سست ہوجائیں,আস্তে আস্তে
ABILITY_SLOW_DOWN_DES,"After using ability, the ball will move slowly when target you",使用能力之後，當目標你目標時，球會緩慢移動,หลังจากใช้ความสามารถลูกบอลจะเคลื่อนที่ช้าเมื่อกำหนดเป้าหมายคุณ,"Sau khi sử dụng kỹ năng, quả bóng sẽ di chuyển thật chậm khi hướng về bạn","Setelah menggunakan kemampuan, bola akan bergerak perlahan saat menargetkan Anda","Depois de usar a habilidade, a bola se moverá lentamente quando o alvo você","Después de usar la habilidad, la pelota se moverá lentamente cuando te apunte","После использования способности мяч будет двигаться медленно, когда вы нацелитесь на вас","Après avoir utilisé la capacité, la balle se déplacera lentement lorsque vous ciblera","Nach dem Einsatz von Fähigkeiten bewegt sich der Ball langsam, wenn Sie Sie abzielen","Yeteneği kullandıktan sonra, sizi hedeflediğinde top yavaş hareket edecek","क्षमता का उपयोग करने के बाद, गेंद आपको लक्षित करने पर धीरे -धीरे आगे बढ़ेगी","După utilizarea capacității, mingea se va mișca lent atunci când vă țint",بعد استخدام القدرة ، ستتحرك الكرة ببطء عندما تستهدفك,စွမ်းရည်ကိုအသုံးပြုပြီးနောက်သင့်ကိုပစ်မှတ်ထားသည့်အခါဘောလုံးသည်ဖြည်းဖြည်းချင်းလှုပ်ရှားလိမ့်မည်,قابلیت کو استعمال کرنے کے بعد ، جب آپ کو نشانہ بنایا جائے تو گیند آہستہ آہستہ حرکت کرے گی,"ক্ষমতা ব্যবহার করার পরে, আপনাকে লক্ষ্য করার সময় বলটি ধীরে ধীরে সরে যাবে"
ABILITY_SHIELD_NAME,SHIELD,盾,โล่,KHIÊN,TAMENG,ESCUDO,BLINDAJE,ЩИТ,BOUCLIER,SCHILD,Kalkan,कवच,SCUT,درع,ဒိုင်း,ڈھال,ঝাল
ABILITY_SHIELD_HIT_DES,Create a skill auto reflect the ball,創建技能自動反射球,สร้างทักษะอัตโนมัติสะท้อนลูกบอล,Tạo một chiếc khiên tự động phản lại quả bóng,Buat keterampilan otomatis mencerminkan bola,Crie uma habilidade automática refletir a bola,Crea una habilidad Auto reflejar la pelota,Создать навык автомат отразить мяч,Créer une compétence Auto reflète la balle,Erstellen Sie eine Fertigkeit automatisch reflektieren Sie den Ball,Bir Beceri Oluşturun Otomatik topu yansıtın,एक कौशल ऑटो बनाएं गेंद को प्रतिबिंबित करें,Creați o abilitate auto reflectă mingea,إنشاء Auto Auto تعكس الكرة,တစ် ဦး ကျွမ်းကျင်မှုအော်တိုဖန်တီးဘောလုံးကိုရောင်ပြန်ဟပ်,ایک مہارت بنائیں آٹو بال کی عکاسی کریں,একটি দক্ষতা তৈরি করুন অটো বলটি প্রতিফলিত করুন
ABILITY_INVISIBLE_NAME,INVISIBLE,無形的,ล่องหน,ẨN THÂN,TAK TERLIHAT,INVISÍVEL,INVISIBLE,Невидимый,INVISIBLE,UNSICHTBAR,GÖRÜNMEZ,अदृश्य,INVIZIBIL,غير مرئى,မမြင်နိုင်သော,پوشیدہ,অদৃশ্য
ABILITY_INVISIBLE_DES,Become invisible for a while,一會兒看不見,มองไม่เห็นสักพัก,Trở nên vô hình trong một khoảng thời gian,Menjadi tidak terlihat untuk sementara waktu,Torne -se invisível por um tempo,Volverse invisible por un tiempo,Какое -то время становятся невидимыми,Devenir invisible pendant un moment,Für eine Weile unsichtbar werden,Bir süre görünmez olmak,थोड़ी देर के लिए अदृश्य बनें,Devin invizibil pentru o vreme,تصبح غير مرئية لفترة من الوقت,ခဏမစန်တွေဖြစ်လာသည်,تھوڑی دیر کے لئے پوشیدہ ہوجائیں,কিছুক্ষণের জন্য অদৃশ্য হয়ে উঠুন
ABILITY_UP_NAME,MISSILE,飛彈,ขีปนาวุธ,BAY LÊN NÀO,PELURU KENDALI,MÍSSIL,MISIL,Ракета,MISSILE,RAKETE,FÜZE,मिसाइल,Rachetă,صاروخ,ဒုံးပျံ,میزائل,ক্ষেপণাস্ত্র
ABILITY_UP_DES,"After using ability, the ball will move up to the sky before move to target",使用能力後，球將向上移到天空之前,หลังจากใช้ความสามารถลูกบอลจะเลื่อนขึ้นไปบนท้องฟ้าก่อนที่จะย้ายไปยังเป้าหมาย,Đánh quả bóng lên trời trước khi nó đuổi theo kẻ khác,"Setelah menggunakan kemampuan, bola akan bergerak ke langit sebelum pindah ke target","Após o uso da habilidade, a bola vai subir para o céu antes de se mover para o alvo","Después de usar la habilidad, la pelota se moverá hacia el cielo antes de moverse a Target","После использования способности мяч поднимется на небо, прежде чем перейти к цели","Après avoir utilisé la capacité, la balle se déplacera vers le ciel avant de se déplacer vers la cible","Nach dem Einsatz von Fähigkeiten bewegt sich der Ball vor dem Ziel zum Himmel, bevor sie sich zum Ziel bewegen","Yeteneği kullandıktan sonra top, hedefe geçmeden önce gökyüzüne doğru hareket edecek","क्षमता का उपयोग करने के बाद, गेंद लक्ष्य के लिए कदम रखने से पहले आकाश की ओर बढ़ेगी","După utilizarea capacității, mingea se va deplasa spre cer înainte de a se deplasa la țintă",بعد استخدام القدرة ، ستنتقل الكرة إلى السماء قبل الانتقال إلى الهدف,စွမ်းရည်ကိုအသုံးပြုပြီးနောက်ဘောလုံးသည်ပစ်မှတ်သို့မပြောင်းမီဘောလုံးသည်ကောင်းကင်သို့တက်လိမ့်မည်,قابلیت کو استعمال کرنے کے بعد ، ہدف پر جانے سے پہلے گیند آسمان کی طرف بڑھے گی,"ক্ষমতা ব্যবহার করার পরে, বলটি লক্ষ্যবস্তুতে সরানোর আগে আকাশে উঠে যাবে"
ABILITY_SHADOW_WALK_NAME,SHADOW WALK,陰影步行,Shadow Walk,TỐC ĐỘ,Bayangan berjalan,Shadow Walk,Caminata por la sombra,Теневая прогулка,Promenade de l'ombre,Schattenspaziergang,Gölge Yürüyüşü,छाया,Umbră plimbare,المشي الظل,အရိပ်လမ်းလျှောက်,شیڈو واک,ছায়া হাঁটা
ABILITY_SHADOW_WALK_DES,Using ability allows you to move incredibly quickly,使用能力使您能夠快速移動,การใช้ความสามารถช่วยให้คุณเคลื่อนไหวได้อย่างรวดเร็ว,Sử dụng kỹ năng cho phép di chuyển nhanh chóng mặt,Menggunakan kemampuan memungkinkan Anda untuk bergerak dengan sangat cepat,Usar a habilidade permite que você se mova incrivelmente rapidamente,Uso de la habilidad te permite moverte increíblemente rápido,Использование способности позволяет вам невероятно быстро двигаться,L'utilisation de la capacité vous permet de vous déplacer incroyablement rapidement,Mit der Nutzung der Fähigkeit können Sie sich unglaublich schnell bewegen,"Yetenek kullanmak, inanılmaz derecede hızlı hareket etmenizi sağlar",क्षमता का उपयोग करने से आप अविश्वसनीय रूप से जल्दी से आगे बढ़ सकते हैं,Folosirea capacității vă permite să vă deplasați incredibil de repede,يتيح لك استخدام القدرة التحرك بسرعة لا تصدق,စွမ်းရည်ကိုအသုံးပြုခြင်းသည်သင်မယုံနိုင်လောက်အောင်လျင်မြန်စွာရွေ့လျားရန်ခွင့်ပြုသည်,قابلیت کا استعمال آپ کو ناقابل یقین حد تک تیزی سے منتقل کرنے کی اجازت دیتا ہے,ক্ষমতা ব্যবহার আপনাকে অবিশ্বাস্যভাবে দ্রুত সরাতে দেয়
ABILITY_BIG_BALL_NAME,BIG BALL,大球,ลูกใหญ่,KHỔNG LỒ HÓA,Menggunakan kemampuan memungkinkan Anda untuk bergerak dengan sangat cepat,Usar a habilidade permite que você se mova incrivelmente rapidamente,Uso de la habilidad te permite moverte increíblemente rápido,Использование способности позволяет вам невероятно быстро двигаться,L'utilisation de la capacité vous permet de vous déplacer incroyablement rapidement,Mit der Nutzung der Fähigkeit können Sie sich unglaublich schnell bewegen,"Yetenek kullanmak, inanılmaz derecede hızlı hareket etmenizi sağlar",क्षमता का उपयोग करने से आप अविश्वसनीय रूप से जल्दी से आगे बढ़ सकते हैं,Folosirea capacității vă permite să vă deplasați incredibil de repede,يتيح لك استخدام القدرة التحرك بسرعة لا تصدق,စွမ်းရည်ကိုအသုံးပြုခြင်းသည်သင်မယုံနိုင်လောက်အောင်လျင်မြန်စွာရွေ့လျားရန်ခွင့်ပြုသည်,قابلیت کا استعمال آپ کو ناقابل یقین حد تک تیزی سے منتقل کرنے کی اجازت دیتا ہے,ক্ষমতা ব্যবহার আপনাকে অবিশ্বাস্যভাবে দ্রুত সরাতে দেয়
ABILITY_BIG_BALL_DES,"Hit the big ball toward enemy, the ball now dealt 200 damage",擊中大球，球現在造成200次傷害,ตีลูกบอลขนาดใหญ่ไปยังศัตรูตอนนี้ลูกบอลสร้างความเสียหาย 200 ลูก,Đánh một quả bóng to về hướng đối phương gây 200 sát thương,"Pukul bola besar menuju musuh, bola sekarang mengalami 200 kerusakan","Bata na grande bola em direção ao inimigo, a bola agora causou 200 danos","Golpea la gran pelota hacia el enemigo, la pelota ahora causó 200 daños","Ударить большой мяч по отношению к врагу, мяч теперь нанес 200 ущерб","Frappez la grosse balle vers l'ennemi, le ballon a maintenant infligé 200 dégâts","Schlagen Sie den großen Ball auf den Feind zu, der Ball hat jetzt 200 Schaden angerichtet","Büyük topa düşmana doğru vur, top şimdi 200 hasar verdi","दुश्मन की ओर बड़ी गेंद को मारो, गेंद अब 200 क्षति से निपटती है","A lovit mingea mare spre inamic, mingea a suferit acum 200 de daune",ضرب الكرة الكبيرة نحو العدو ، تعرضت الكرة الآن 200 ضرر,"ဘောလုံးကိုရန်သူဆီသို့ဆွဲဆောင်ပါ, ဘောလုံးသည်ယခုအခါပျက်စီးမှု 200 ကိုကိုင်တွယ်သည်",بڑی گیند کو دشمن کی طرف مارو ، گیند نے اب 200 کو پہنچنے والے نقصان سے نمٹا,"শত্রুর দিকে বড় বলটি হিট করুন, বলটি এখন 200 টি ক্ষতি করেছে"
ABILITY_MULTIPLE_NAME,MULTIPLE,多種的,หลายรายการ,PHÂN BÀO,Banyak,MÚLTIPLO,MÚLTIPLE,НЕСКОЛЬКО,PLUSIEURS,MEHRERE,Çoklu,एकाधिक,MULTIPLU,عديد,အပိုင်းများစွာရှိသော,ایک سے زیادہ,একাধিক
ABILITY_MULTIPLE_DES,Spawn 1 more ball,產卵1個球,วางไข่อีก 1 ลูก,Tạo thêm một quả bóng ,Spawn 1 bola lagi,Gerar mais 1 bola,Engendrar 1 pelota más,Спон еще 1 мяч,Spawn 1 balle de plus,Laiche 1 mehr Ball,SPAWN 1 Ball Daha Fazla,स्पॉन 1 और गेंद,Spawn încă o minge,تفرخ 1 كرة أخرى,1 ပိုပြီးဘောလုံးကို spawn,اسپون 1 مزید گیند,আরও 1 টি বল স্প্যান
ABILITY_RECOVERY_NAME,RECOVERY,恢復,การกู้คืน,HỒI MÁU,PEMULIHAN,RECUPERAÇÃO,RECUPERACIÓN,ВОССТАНОВЛЕНИЕ,RÉCUPÉRATION,ERHOLUNG,İYİLEŞMEK,वसूली,RECUPERARE,استعادة,ပြန်. ရယူမှု,بازیابی,পুনরুদ্ধার
ABILITY_RECOVERY_DES,Recover 100HP,恢復100hp,กู้คืน 100hp,Hồi 100 máu,Pulih 100hp,Recupere 100hp,Recuperar 100hp,Восстановить 100 л.с.,Récupérer 100hp,100 PS erholen,100hp kurtar,100hp पुनर्प्राप्त करें,Recuperați 100 CP,استرداد 100 حصان,100hp recover,100hp بازیافت کریں,100HP পুনরুদ্ধার করুন
HUD_ABILITY_PAGE_DESC,Unlock ability so that it can be appeared in random page,解鎖能力，以便可以在隨機頁面中出現,ความสามารถในการปลดล็อกเพื่อให้สามารถปรากฏในหน้าสุ่ม,Mở khóa kỹ năng để có cơ hội xuất hiện ngẫu nhiên,Buka kunci kemampuan sehingga dapat muncul di halaman acak,Capacidade de desbloqueio para que possa ser apareceu em página aleatória,Desbloquea la capacidad para que pueda aparecer en la página aleatoria,"Разблокировать способность, чтобы ее можно было появиться на случайной странице",Déverrouiller la capacité afin qu'elle puisse être apparue dans une page aléatoire,"Die Fähigkeit freischalten, damit es auf zufälliger Seite erscheinen kann",Rastgele sayfada görünmesi için yeteneği açma yeteneği,क्षमता अनलॉक करें ताकि यह यादृच्छिक पृष्ठ में दिखाई दिया जा सके,"Deblocați abilitatea, astfel încât să poată fi apărut în pagina aleatorie",فتح القدرة بحيث يمكن الظهور في صفحة عشوائية,၎င်းကိုကျပန်းစာမျက်နှာတွင်ပေါ်လာနိုင်အောင်စွမ်းရည်ကိုသော့ဖွင့်ပါ,انلاک قابلیت کو تاکہ یہ بے ترتیب صفحے میں ظاہر ہوسکے,ক্ষমতা আনলক করুন যাতে এটি এলোমেলো পৃষ্ঠায় উপস্থিত হতে পারে
HUD_WEAPON_PAGE_DESC,Get cool weapon,得到很酷的武器,รับอาวุธเย็น ๆ,Chọn vũ khí thật ngầu,Dapatkan senjata keren,Obtenha uma arma legal,Obtener un arma genial,Получите крутое оружие,Obtenez une arme cool,Holen Sie sich coole Waffe,Havalı Silah Alın,शांत हथियार प्राप्त करें,Ia armă rece,احصل على سلاح رائع,အေးမြသောလက်နက်ရယူပါ,ٹھنڈا ہتھیار حاصل کریں,শীতল অস্ত্র পান
